customer_id,first_name,last_name,email,address_id
1,MARY,SMITH,MARY.SMITH@gmail.com,5
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@gmail.com,6
3,LINDA,WILLIAMS,LINDA.WILLIAMS@gmail.com,1
4,BARBARA,JONES,BARBARA.JONES@gmail.com,8
5,ELIZABETH,BROWN,ELIZABETH.BROWN@gmail.com,9
6,JENNIFER,DAVIS,JENNIFER.DAVIS@gmail.com,10
7,MARIA,MILLER,MARIA.MILLER@gmail.com,11
8,SUSAN,WILSON,SUSAN.WILSON@gmail.com,3
9,MARGARET,MOORE,MARGARET.MOORE@gmail.com,13
10,DOROTHY,TAYLOR,DOROTHY.TAYLOR@gmail.com,14
11,LISA,ANDERSON,LISA.ANDERSON@gmail.com,15
12,NANCY,THOMAS,NANCY.THOMAS@gmail.com,16
13,KAREN,JACKSON,KAREN.JACKSON@gmail.com,17
14,BETTY,WHITE,BETTY.WHITE@yahoo.com,18
15,HELEN,HARRIS,HELEN.HARRIS@yahoo.com,19
16,SANDRA,MARTIN,SANDRA.MARTIN@yahoo.com,20
17,DONNA,THOMPSON,DONNA.THOMPSON@yahoo.com,21
18,CAROL,GARCIA,CAROL.GARCIA@yahoo.com,22
19,RUTH,MARTINEZ,RUTH.MARTINEZ@yahoo.com,23
20,SHARON,ROBINSON,SHARON.ROBINSON@yahoo.com,24
21,MICHELLE,CLARK,MICHELLE.CLARK@yahoo.com,25
22,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@yahoo.com,26
23,SARAH,LEWIS,SARAH.LEWIS@yahoo.com,27
24,KIMBERLY,LEE,KIMBERLY.LEE@yahoo.com,28
25,DEBORAH,WALKER,DEBORAH.WALKER@yahoo.com,29
26,JESSICA,HALL,JESSICA.HALL@yahoo.com,30
27,SHIRLEY,ALLEN,SHIRLEY.ALLEN@yahoo.com,31
28,CYNTHIA,YOUNG,CYNTHIA.YOUNG@yahoo.com,32
29,ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@yahoo.com,33
30,MELISSA,KING,MELISSA.KING@yahoo.com,34
31,BRENDA,WRIGHT,BRENDA.WRIGHT@yahoo.com,35
32,AMY,LOPEZ,AMY.LOPEZ@yahoo.com,36
33,ANNA,HILL,ANNA.HILL@yahoo.com,37
34,REBECCA,SCOTT,REBECCA.SCOTT@yahoo.com,38
35,VIRGINIA,GREEN,VIRGINIA.GREEN@yahoo.com,39
36,KATHLEEN,ADAMS,KATHLEEN.ADAMS@yahoo.com,40
37,PAMELA,BAKER,PAMELA.BAKER@yahoo.com,41
38,MARTHA,GONZALEZ,MARTHA.GONZALEZ@yahoo.com,42
39,DEBRA,NELSON,DEBRA.NELSON@mycompany.com,43
40,AMANDA,CARTER,AMANDA.CARTER@mycompany.com,44
